# a0[Ã…], E_Au[eV], E_Pt[eV], E_Rh[eV]
3.5000000000, 1.3172942723, -3.8274097284, -6.1517201465
3.5050251256, 1.2205103315, -3.8986909974, -6.1923220056
3.5100502513, 1.1253029166, -3.9686484137, -6.2320189275
3.5150753769, 1.0317475333, -4.0372242447, -6.2708105848
3.5201005025, 0.9398536626, -4.1044075247, -6.3085995588
3.5251256281, 0.8495271485, -4.1702967880, -6.3455267882
3.5301507538, 0.7607373070, -4.2348980514, -6.3815989070
3.5351758794, 0.6735843152, -4.2981256937, -6.4166958051
3.5402010050, 0.5878976569, -4.3601182697, -6.4509607708
3.5452261307, 0.5036553686, -4.4209020176, -6.4844266546
3.5502512563, 0.4209634992, -4.4804006252, -6.5170011269
3.5552763819, 0.3396453452, -4.5387309261, -6.5488053349
3.5603015075, 0.2598028573, -4.5958247926, -6.5797447115
3.5653266332, 0.1814263923, -4.6516765551, -6.6098215784
3.5703517588, 0.1044326808, -4.7063818626, -6.6391322862
3.5753768844, 0.0287379194, -4.7599742546, -6.6677053606
3.5804020101, -0.0455801508, -4.8124090300, -6.6954722837
3.5854271357, -0.1185216398, -4.8636999369, -6.7224415700
3.5904522613, -0.1901847128, -4.9139117233, -6.7487072959
3.5954773869, -0.2605592756, -4.9630298249, -6.7742235525
3.6005025126, -0.3296334254, -5.0110520010, -6.7989990337
3.6055276382, -0.3974246904, -5.0579953650, -6.8230252636
3.6105527638, -0.4640160596, -5.1039132946, -6.8463727732
3.6155778894, -0.5294388051, -5.1488312666, -6.8690565947
3.6206030151, -0.5935973536, -5.1926874484, -6.8909861714
3.6256281407, -0.6566180658, -5.2355827279, -6.9122776951
3.6306532663, -0.7184357911, -5.2774735013, -6.9328899691
3.6356783920, -0.7790167907, -5.3183114433, -6.9527525683
3.6407035176, -0.8385615577, -5.3582706188, -6.9720684832
3.6457286432, -0.8969615485, -5.3972650253, -6.9907211725
3.6507537688, -0.9542925303, -5.4353362731, -7.0087506999
3.6557788945, -1.0105528322, -5.4724896159, -7.0261526463
3.6608040201, -1.0657195256, -5.5087329918, -7.0429305346
3.6658291457, -1.1198213288, -5.5440735462, -7.0590976908
3.6708542714, -1.1729067542, -5.5785459059, -7.0746791969
3.6758793970, -1.2249056837, -5.6121030087, -7.0896377092
3.6809045226, -1.2759456432, -5.6448344686, -7.1040549518
3.6859296482, -1.3259731487, -5.6767115559, -7.1178843091
3.6909547739, -1.3750505047, -5.7077826615, -7.1311892971
3.6959798995, -1.4231235728, -5.7380070226, -7.1438998320
3.7010050251, -1.4703009168, -5.7674532308, -7.1561022771
3.7060301508, -1.5165222816, -5.7960910731, -7.1677538454
3.7110552764, -1.5617819140, -5.8239073528, -7.1788343543
3.7160804020, -1.6061325313, -5.8509569774, -7.1894055251
3.7211055276, -1.6496351969, -5.8772760282, -7.1995115386
3.7261306533, -1.6921897874, -5.9028083145, -7.2090627688
3.7311557789, -1.7339491794, -5.9276397220, -7.2181598982
3.7361809045, -1.7747545590, -5.9516779669, -7.2266898286
3.7412060302, -1.8148161202, -5.9750644890, -7.2348318801
3.7462311558, -1.8540402439, -5.9977294843, -7.2424815479
3.7512562814, -1.8923688073, -6.0196574446, -7.2496216981
3.7562814070, -1.9299702161, -6.0409475875, -7.2563506211
3.7613065327, -1.9667857953, -6.0615708202, -7.2626410383
3.7663316583, -2.0028079974, -6.0815091250, -7.2684607985
3.7713567839, -2.0380135161, -6.1007686556, -7.2738248638
3.7763819095, -2.0724410964, -6.1193673049, -7.2787365579
3.7814070352, -2.1061283545, -6.1373290780, -7.2832328859
3.7864321608, -2.1391490043, -6.1547279696, -7.2873991219
3.7914572864, -2.1714198469, -6.1714806826, -7.2911117798
3.7964824121, -2.2029439059, -6.1876062399, -7.2944039936
3.8015075377, -2.2337897786, -6.2031646867, -7.2973350660
3.8065326633, -2.2638990608, -6.2180950736, -7.2998229605
3.8115577889, -2.2933848795, -6.2324890431, -7.3019715786
3.8165829146, -2.3221216321, -6.2462647939, -7.3036946545
3.8216080402, -2.3502290287, -6.2595014337, -7.3050789468
3.8266331658, -2.3776426777, -6.2721634606, -7.3060767238
3.8316582915, -2.4045122407, -6.2843422824, -7.3067836170
3.8366834171, -2.4306188596, -6.2959013469, -7.3070464694
3.8417085427, -2.4561703677, -6.3069834723, -7.3070328087
3.8467336683, -2.4811404580, -6.3175762567, -7.3066954608
3.8517587940, -2.5053993355, -6.3275722012, -7.3059360662
3.8567839196, -2.5291422688, -6.3371249147, -7.3049117176
3.8618090452, -2.5522818695, -6.3461777192, -7.3035647142
3.8668341709, -2.5748093017, -6.3547230630, -7.3018827009
3.8718592965, -2.5967324682, -6.3627524594, -7.2998360728
3.8768844221, -2.6181896711, -6.3703775269, -7.2975744957
3.8819095477, -2.6390215510, -6.3774844724, -7.2949471981
3.8869346734, -2.6593281240, -6.3841654723, -7.2920664541
3.8919597990, -2.6791491627, -6.3904225194, -7.2889284902
3.8969849246, -2.6983106072, -6.3961281655, -7.2853757343
3.9020100503, -2.7171115267, -6.4015248997, -7.2816871631
3.9070351759, -2.7352904046, -6.4064046105, -7.2776247831
3.9120603015, -2.7529920168, -6.4108817825, -7.2733045584
3.9170854271, -2.7701874001, -6.4149299907, -7.2687033109
3.9221105528, -2.7869709676, -6.4186325826, -7.2639154145
3.9271356784, -2.8031746651, -6.4218591619, -7.2587935821
3.9321608040, -2.8189237683, -6.4247006515, -7.2534263198
3.9371859296, -2.8342527533, -6.4271897756, -7.2478502868
3.9422110553, -2.8491421404, -6.4293011464, -7.2420388336
3.9472361809, -2.8634864378, -6.4309735000, -7.2359117921
3.9522613065, -2.8774734942, -6.4323319862, -7.2296202577
3.9572864322, -2.8909781099, -6.4332895717, -7.2230424428
3.9623115578, -2.9040821073, -6.4339093169, -7.2162681578
3.9673366834, -2.9167523576, -6.4341775463, -7.2092699728
3.9723618090, -2.9290032134, -6.4340924837, -7.2020359420
3.9773869347, -2.9408315438, -6.4336619359, -7.1945851735
3.9824120603, -2.9522982784, -6.4329172802, -7.1869487121
3.9874371859, -2.9633305227, -6.4318219079, -7.1790719064
3.9924623116, -2.9740091559, -6.4304291578, -7.1710175104
3.9974874372, -2.9842696103, -6.4286883020, -7.1627388516
4.0025125628, -2.9941679467, -6.4266469718, -7.1542787093
4.0075376884, -3.0037313692, -6.4243226409, -7.1456371070
4.0125628141, -3.0128547407, -6.4216406649, -7.1367496227
4.0175879397, -3.0216658067, -6.4186868454, -7.1276974807
4.0226130653, -3.0301156009, -6.4154445889, -7.1184769614
4.0276381910, -3.0382429152, -6.4119370212, -7.1090933079
4.0326633166, -3.0460315702, -6.4081464574, -7.0995407131
4.0376884422, -3.0534624280, -6.4040628445, -7.0897918746
4.0427135678, -3.0605619827, -6.3997003844, -7.0798706582
4.0477386935, -3.0673926921, -6.3950757690, -7.0698179794
4.0527638191, -3.0738737207, -6.3902014266, -7.0595875416
4.0577889447, -3.0800296231, -6.3850672633, -7.0491862175
4.0628140704, -3.0858714290, -6.3796799202, -7.0386288951
4.0678391960, -3.0914118804, -6.3740452750, -7.0279184628
4.0728643216, -3.0966238795, -6.3681440919, -7.0170420574
4.0778894472, -3.1016234372, -6.3620682365, -7.0060836102
4.0829145729, -3.1062228324, -6.3556712813, -6.9948917345
4.0879396985, -3.1106336374, -6.3491229025, -6.9836434530
4.0929648241, -3.1147482142, -6.3423352138, -6.9722418657
4.0979899497, -3.1185765860, -6.3353081378, -6.9606852237
4.1030150754, -3.1221042577, -6.3280435880, -6.9489747282
4.1080402010, -3.1253907433, -6.3205921639, -6.9371678914
4.1130653266, -3.1284569375, -6.3129538234, -6.9252561679
4.1180904523, -3.1312160505, -6.3050752940, -6.9131822448
4.1231155779, -3.1337513630, -6.2970198713, -6.9010117673
4.1281407035, -3.1360182230, -6.2887526127, -6.8887163172
4.1331658291, -3.1380526834, -6.2803023195, -6.8763134480
4.1381909548, -3.1398510515, -6.2716644004, -6.8638038797
4.1432160804, -3.1414322232, -6.2628534520, -6.8511998029
4.1482412060, -3.1427297793, -6.2538229537, -6.8384375343
4.1532663317, -3.1438454791, -6.2446436842, -6.8256067109
4.1582914573, -3.1447177487, -6.2352760989, -6.8126602422
4.1633165829, -3.1453662347, -6.2257435562, -6.7996193909
4.1683417085, -3.1458202797, -6.2160575000, -6.7864922471
4.1733668342, -3.1460340266, -6.2061872604, -6.7732284225
4.1783919598, -3.1460391852, -6.1961583252, -6.7598982421
4.1834170854, -3.1458863463, -6.1860060400, -6.7465016890
4.1884422111, -3.1454671122, -6.1756545252, -6.7329678196
4.1934673367, -3.1449116102, -6.1651935032, -6.7193956829
4.1984924623, -3.1441330955, -6.1545621859, -6.7057098796
4.2035175879, -3.1431536001, -6.1437875452, -6.6919480011
4.2085427136, -3.1420007829, -6.1328809996, -6.6781106710
4.2135678392, -3.1406632794, -6.1218328233, -6.6641898241
4.2185929648, -3.1391739379, -6.1106742796, -6.6502171348
4.2236180905, -3.1374485720, -6.0993452906, -6.6361312671
4.2286432161, -3.1355734205, -6.0879041625, -6.6219867228
4.2336683417, -3.1335235314, -6.0763288753, -6.6077677731
4.2386934673, -3.1313292960, -6.0646482706, -6.5935018462
4.2437185930, -3.1289639965, -6.0528436001, -6.5791663206
4.2487437186, -3.1264287457, -6.0409186668, -6.5647632572
4.2537688442, -3.1237371400, -6.0288750697, -6.5502948946
4.2587939698, -3.1208933572, -6.0167240108, -6.5357696684
4.2638190955, -3.1178551626, -6.0044301454, -6.5211464695
4.2688442211, -3.1147697144, -5.9921020241, -6.5065578129
4.2738693467, -3.1114873308, -5.9796344222, -6.4918704755
4.2788944724, -3.1080541673, -5.9670570763, -6.4771207114
4.2839195980, -3.1044777019, -5.9543818350, -6.4623221144
4.2889447236, -3.1007820913, -5.9416184002, -6.4474849232
4.2939698492, -3.0969158014, -5.9287290359, -6.4325598898
4.2989949749, -3.0929112966, -5.9157497817, -6.4175928046
4.3040201005, -3.0888297240, -5.9027124180, -6.4026198199
4.3090452261, -3.0846442979, -5.8895987405, -6.3876213077
4.3140703518, -3.0802669103, -5.8763561905, -6.3725271372
4.3190954774, -3.0758070304, -5.8630528266, -6.3574182738
4.3241206030, -3.0712491280, -5.8496834372, -6.3422878214
4.3291457286, -3.0665493881, -5.8362152824, -6.3270954995
4.3341708543, -3.0617570586, -5.8226782363, -6.3118777023
4.3391959799, -3.0568609766, -5.8089954364, -6.2966004461
4.3442211055, -3.0518345457, -5.7953014363, -6.2813057155
4.3492462312, -3.0467349387, -5.7815560545, -6.2660015895
4.3542713568, -3.0414649353, -5.7676980194, -6.2506167074
4.3592964824, -3.0361701219, -5.7538224290, -6.2352630473
4.3643216080, -3.0307441780, -5.7398587877, -6.2198514962
4.3693467337, -3.0252664976, -5.7258618301, -6.2044471242
4.3743718593, -3.0196344578, -5.7117602467, -6.1889651714
4.3793969849, -3.0139201538, -5.6976049809, -6.1734642072
4.3844221106, -3.0081510984, -5.6834198621, -6.1579719987
4.3894472362, -3.0022551855, -5.6691497670, -6.1424237434
4.3944723618, -2.9963401065, -5.6548721598, -6.1269082645
4.3994974874, -2.9902875320, -5.6405051611, -6.1113313899
4.4045226131, -2.9841607833, -5.6260888655, -6.0957344981
4.4095477387, -2.9780082340, -5.6116637337, -6.0801681019
4.4145728643, -2.9717498815, -5.5971742403, -6.0645635315
4.4195979899, -2.9654339056, -5.5826526798, -6.0489560802
4.4246231156, -2.9589563393, -5.5680259773, -6.0332636907
4.4296482412, -2.9524725396, -5.5534051077, -6.0176129670
4.4346733668, -2.9458992629, -5.5387271774, -6.0019312044
4.4396984925, -2.9392944280, -5.5240382802, -5.9862654727
4.4447236181, -2.9326053718, -5.5093036105, -5.9705812837
4.4497487437, -2.9258255293, -5.4945174957, -5.9548735258
4.4547738693, -2.9190184220, -5.4797206086, -5.9391801235
4.4597989950, -2.9121397806, -5.4648841092, -5.9234732572
4.4648241206, -2.9051491060, -5.4499786510, -5.9077209053
4.4698492462, -2.8981630766, -5.4350952269, -5.8920231076
4.4748743719, -2.8911280561, -5.4201856634, -5.8763136042
4.4798994975, -2.8840012735, -5.4052236986, -5.8605746810
4.4849246231, -2.8768157101, -5.3902359155, -5.8448352332
4.4899497487, -2.8696076787, -5.3752447635, -5.8291239210
4.4949748744, -2.8622813881, -5.3601882300, -5.8133581889
4.5000000000, -2.8549683835, -5.3451497260, -5.7976517486
